index,buysell,durationtype,advisor,otheradvices,symbolname,success,advisor,niftysentiment
146,1,2,168,False,EQUITAS,False,168,2
147,1,3,180,True,AXISBANK,True,180,1
148,1,2,39,True,HINDALCO,False,39,2
150,1,3,176,False,JSWSTEEL,True,176,1
151,2,3,148,False,MCDOWELL-N,True,148,1
152,1,2,167,True,ASIANPAINT,False,167,2
153,1,2,162,True,LUPIN,True,162,2
154,1,2,167,True,ULTRACEMCO,False,167,1
155,1,2,151,True,ESCORTS,False,151,1
156,1,2,168,True,BEL,True,168,1
157,1,3,165,True,TORNTPHARM,True,165,1
158,1,2,167,True,NIITTECH,False,167,1
159,1,3,121,False,BHARTIARTL,False,121,1
160,1,1,73,False,KEC,False,73,1
161,1,3,121,False,JSWSTEEL,True,121,1
162,2,2,169,False,BANKBARODA,False,169,1
163,1,3,133,True,TORNTPHARM,True,133,1
164,1,2,167,False,BANKINDIA,False,167,1
165,1,2,199,True,UJJIVAN,False,199,1
166,2,3,142,False,TVSMOTOR,True,142,2
167,1,2,198,False,JKPAPER,True,198,1
168,2,2,162,False,TCS,True,162,1
169,1,2,175,False,MANAPPURAM,True,175,1
170,1,1,39,False,EXIDEIND,False,39,1
171,1,2,167,False,AVANTIFEED,True,167,1
172,1,2,167,True,RBLBANK,True,167,1
173,1,3,140,True,TORNTPHARM,True,140,1
174,1,3,152,True,EXIDEIND,True,152,1
175,1,1,73,True,RELIANCE,True,73,2
176,1,2,168,False,GODREJIND,False,168,1
177,1,1,73,False,SOBHA,False,73,1
178,1,2,167,True,ASHOKLEY,False,167,1
179,1,3,157,True,HAVELLS,True,157,1
180,1,2,39,False,VISAKAIND,True,39,1
181,1,3,148,True,HAVELLS,True,148,1
182,1,2,167,True,HINDALCO,True,167,1
183,2,2,168,False,GODREJIND,True,168,1
184,1,2,215,False,BPCL,False,215,1
185,1,1,73,False,MINDTREE,True,73,1
186,1,1,73,False,SUNPHARMA,False,73,1
187,1,1,73,False,SPARC,False,73,1
188,1,2,39,True,TVSMOTOR,True,39,1
189,1,2,39,True,HINDZINC,True,39,1
190,1,2,175,False,INDUSINDBK,False,175,1
191,1,1,39,False,HDFCBANK,True,39,1
192,2,2,168,False,TATACHEM,False,168,1
193,1,1,73,True,TECHM,False,73,1
195,1,3,133,True,ESSELPACK,True,133,1
196,1,2,39,True,YESBANK,True,39,1
197,1,3,121,False,HCLTECH,True,121,1
198,1,2,109,False,RAMCOCEM,False,109,1
199,1,2,190,True,TATAELXSI,False,190,1
200,1,3,142,True,AUROPHARMA,True,142,2
201,1,3,142,True,JUBLFOOD,True,142,1
202,2,3,161,True,ADANIPORTS,True,161,1
203,1,3,133,True,ENIL,True,133,1
204,2,2,167,False,BAJAJFINSV,False,167,1
205,1,2,168,True,BEL,False,168,1
206,2,2,175,False,COALINDIA,True,175,1
207,2,2,167,False,JUBLFOOD,False,167,2
208,2,2,166,False,LT,False,166,1
209,1,3,144,True,AUROPHARMA,True,144,2
210,1,3,156,True,ENIL,True,156,1
211,1,2,109,False,COLPAL,True,109,1
212,1,3,138,True,AUROPHARMA,True,138,1
213,1,3,132,False,HDFCLIFE,True,132,1
214,1,3,121,False,JUBLFOOD,False,121,2
215,1,3,129,True,RBLBANK,True,129,1
216,1,2,175,True,TATAMOTORS,False,175,2
217,1,3,182,True,ASHOKLEY,True,182,1
218,2,2,168,True,PAGEIND,True,168,2
219,1,3,159,True,AXISBANK,True,159,1
220,1,1,39,False,ASIANPAINT,False,39,1
221,1,1,73,True,JUSTDIAL,False,73,2
222,1,2,170,True,SUNPHARMA,True,170,1
223,1,2,168,False,INDIACEM,False,168,1
224,1,3,156,False,PIDILITIND,True,156,1
225,2,2,167,False,LT,False,167,1
226,1,3,121,True,ICICIBANK,False,121,2
227,1,2,166,True,M&M,True,166,0
228,1,2,168,True,BHARATFORG,True,168,1
229,2,2,167,False,CGPOWER,True,167,1
230,2,2,175,True,ZEEL,False,175,1
231,1,3,181,True,NESTLEIND,True,181,1
232,1,2,39,False,HAVELLS,False,39,1
233,1,2,39,False,TATAMOTORS,False,39,1
234,1,2,167,True,YESBANK,True,167,1
235,1,3,142,False,CIPLA,True,142,1
236,1,3,121,True,INFY,True,121,1
237,2,2,169,False,RPOWER,False,169,1
238,1,3,147,True,RBLBANK,True,147,1
239,1,2,175,False,AJANTPHARM,True,175,2
240,1,2,167,False,TITAN,False,167,1
241,1,3,176,False,LINCPEN,True,176,1
242,2,1,175,False,TATAMOTORS,False,175,1
243,1,3,145,True,AXISBANK,True,145,1
244,2,2,168,True,LUPIN,False,168,1
245,1,2,175,True,SIEMENS,False,175,1
246,1,1,73,False,ANDHRSUGAR,False,73,2
247,1,3,39,True,RELCAPITAL,True,39,1
248,1,2,175,True,AUROPHARMA,False,175,1
249,1,2,39,False,TVSMOTOR,False,39,1
